episode_index,episode_seed,arm,controller,current,terminal_joint_success,tail80_joint_success,dwell15_joint_success,tail50_joint_occupancy,terminal_localization_error_m,terminal_formation_error_m,ever_locked,first_track_time_s,unsafe_transition_count,unsafe_track_start_count,unsafe_track_end_count,audit_release_violation_count,mean_squared_action,maximum_combined_decision_runtime_s,requested_delivered_action_rms,action_count,noise_tape_sha256,current_tape_sha256,post_track_action_count,post_track_saturation_fraction,post_track_speed_saturation_fraction,post_track_yaw_saturation_fraction,post_track_pitch_saturation_fraction,post_track_action_total_variation,post_track_action_curvature_rms
6,51006,belief_active__low_order_dynamic__delay_aware__bottom_track_visible,delay_aware,bottom_track_visible,True,True,True,1.0,0.9478665997096548,0.9764911443211346,True,123.99999999999723,0,0,0,0,0.7014064745152808,0.6023194589943159,0.2540755610769028,220,0da0f1a638dc2f7fedc916e9db891053fd4cd70875dba9ba5b28de3ee6af8258,fec960032f5dd8529b9649696743268b980cf328e619e0a63912595a93e05fe6,158,0.0189873417721519,0.012658227848101266,0.0,0.012658227848101266,0.13777354882881634,0.2361990550389004
7,51007,belief_active__low_order_dynamic__baseline_pid__no_current,baseline_pid,no_current,False,False,False,0.14,0.42889175428885534,13.472433977898412,True,64.00000000000064,0,0,0,0,2.3101406025324995,0.6182782090036198,0.49577221402140403,220,4fbc81b02d0ec8fc0e1bd27bca1e54c2717e6d5c64b7c1a8b7ba119446a2939b,6b550a012b04c5e7365a453b1482250a1d64a50391a0b6212d49f8814a37d2b8,188,0.9680851063829787,0.7127659574468085,0.6276595744680851,0.7127659574468085,0.7243985435401697,0.757321842201478
7,51007,belief_active__low_order_dynamic__delay_aware__no_current,delay_aware,no_current,True,True,True,1.0,0.7922020992261374,0.8596501419821645,True,64.00000000000064,0,0,0,0,0.3551824585150773,0.5876084580086172,0.19442137583804436,220,4fbc81b02d0ec8fc0e1bd27bca1e54c2717e6d5c64b7c1a8b7ba119446a2939b,6b550a012b04c5e7365a453b1482250a1d64a50391a0b6212d49f8814a37d2b8,188,0.02127659574468085,0.005319148936170213,0.0,0.015957446808510637,0.13820439564884754,0.23603731905181444
7,51007,belief_active__low_order_dynamic__baseline_pid__bottom_track_visible,baseline_pid,bottom_track_visible,True,False,False,0.22,0.3730187159630472,6.053500324043699,True,64.00000000000064,0,0,0,0,2.272668492426551,0.5856384999933653,0.4808835568048712,220,4fbc81b02d0ec8fc0e1bd27bca1e54c2717e6d5c64b7c1a8b7ba119446a2939b,6b550a012b04c5e7365a453b1482250a1d64a50391a0b6212d49f8814a37d2b8,188,0.9414893617021277,0.75,0.574468085106383,0.648936170212766,0.7234102059786162,0.7100120947590427
7,51007,belief_active__low_order_dynamic__delay_aware__bottom_track_visible,delay_aware,bottom_track_visible,True,True,True,1.0,0.6988991665577008,0.8520672691676683,True,64.00000000000064,0,0,0,0,0.3623808139039218,0.6007673749991227,0.19334935185533345,220,4fbc81b02d0ec8fc0e1bd27bca1e54c2717e6d5c64b7c1a8b7ba119446a2939b,6b550a012b04c5e7365a453b1482250a1d64a50391a0b6212d49f8814a37d2b8,188,0.015957446808510637,0.005319148936170213,0.0,0.010638297872340425,0.14065759090018976,0.2350367050397941
8,51008,belief_active__low_order_dynamic__baseline_pid__no_current,baseline_pid,no_current,True,False,False,0.1,0.3411110788846615,5.217609910671838,True,93.99999999999893,0,0,0,0,2.22576123441009,0.6130848329921719,0.47571183069344963,220,ae183e6c224b108f9b17edf4f858d4fb6632792ca3bfbaa42588519f0e75cf28,c45f4863dad85fe6c776602368f0686f6385822f9c406bcdb7f02844f6bc46d0,173,0.9595375722543352,0.7572254335260116,0.6184971098265896,0.6589595375722543,0.7319824456113863,0.7538109432190792
8,51008,belief_active__low_order_dynamic__delay_aware__no_current,delay_aware,no_current,True,True,True,1.0,0.3014565812380202,0.5888911820442434,True,93.99999999999893,0,0,0,0,0.45140845140093516,0.5827385830052663,0.19388102191095755,220,ae183e6c224b108f9b17edf4f858d4fb6632792ca3bfbaa42588519f0e75cf28,c45f4863dad85fe6c776602368f0686f6385822f9c406bcdb7f02844f6bc46d0,173,0.028901734104046242,0.023121387283236993,0.0,0.017341040462427744,0.12745843408802496,0.2191846934356441
8,51008,belief_active__low_order_dynamic__baseline_pid__bottom_track_visible,baseline_pid,bottom_track_visible,False,False,False,0.08,0.5593955173657288,11.25922971341079,True,93.99999999999893,0,0,0,0,2.1145040678991545,0.5957913339952938,0.45079696044828815,220,ae183e6c224b108f9b17edf4f858d4fb6632792ca3bfbaa42588519f0e75cf28,c45f4863dad85fe6c776602368f0686f6385822f9c406bcdb7f02844f6bc46d0,173,0.953757225433526,0.7745664739884393,0.6011560693641619,0.5780346820809249,0.6817541300619844,0.7005462970791194
8,51008,belief_active__low_order_dynamic__delay_aware__bottom_track_visible,delay_aware,bottom_track_visible,True,True,True,1.0,0.6542745994824023,0.7569488691172085,True,93.99999999999893,0,0,0,0,0.4199863252879932,0.6246839999948861,0.181381145326194,220,ae183e6c224b108f9b17edf4f858d4fb6632792ca3bfbaa42588519f0e75cf28,c45f4863dad85fe6c776602368f0686f6385822f9c406bcdb7f02844f6bc46d0,173,0.046242774566473986,0.03468208092485549,0.023121387283236993,0.005780346820809248,0.14115991771504585,0.2209927245035587
9,51009,belief_active__low_order_dynamic__baseline_pid__no_current,baseline_pid,no_current,False,False,False,0.22,0.8494629382107315,11.603861044394367,True,64.00000000000064,0,0,0,0,2.2517708155370455,0.6066354580107145,0.4881573062105857,220,b8ff29fc2e858b5652c0e8ec65cabf077b81939c55e202b9b5c321ffb8402430,b1737057fbd651df9760eeb538f5d61ff24693a1f2a1e7c84846188a887f1625,188,0.9627659574468085,0.7393617021276596,0.6542553191489362,0.5478723404255319,0.7266065379422292,0.739769544229925
