episode_index,episode_seed,arm,source_mask_l1,source_mask_l2,measurement_row_count,active_scalar_measurement_count,action_count,terminal_joint_success,tail80_joint_success,dwell15_joint_success,tail50_joint_occupancy,terminal_localization_error_m,terminal_formation_error_m,ever_locked,first_track_action_time_s,first_track_analysis_time_s,unsafe_transition_count,unsafe_track_start_count,unsafe_track_end_count,audit_release_violation_count,false_confidence_action_count,maximum_localization_error_m,maximum_track_localization_error_m,mean_squared_action,maximum_combined_decision_runtime_s,planner_kind,planner_decision_count,maximum_saved_hypothesis_count,policy_seed,policy_index_stream_sha256,noise_tape_sha256,noise_cursor_json,mission_support_json
0,48800,full_active,True,True,440,880,220,True,True,True,1.0,0.547655546753007,0.6040739133775218,True,93.99999999999893,93.99999999999893,0,0,0,0,0,6.295719658376,0.7946048960110683,0.28374263812860817,0.9163791250030044,belief_conditioned,32,8,,,ac525deda05e26fedef60849e6591435e17c9a0a9f6aa072373b07771fe2126b,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-45.619234922632465],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
0,48800,no_pair_term,True,True,440,880,220,True,True,True,1.0,0.4862470082098746,0.5341658102893466,True,93.99999999999893,93.99999999999893,0,0,0,0,0,5.964749423102594,0.8398415189300941,0.27005719440774284,0.924576707999222,belief_conditioned,32,8,,,ac525deda05e26fedef60849e6591435e17c9a0a9f6aa072373b07771fe2126b,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-45.619234922632465],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
0,48800,best_hypothesis_only,True,True,440,880,220,True,True,True,1.0,0.3834944399864576,0.3652973401317365,True,123.99999999999723,123.99999999999723,0,0,0,0,0,5.964749423102594,0.6066683765551074,0.322583123324173,0.8694707079994259,belief_conditioned,47,1,,,ac525deda05e26fedef60849e6591435e17c9a0a9f6aa072373b07771fe2126b,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-45.619234922632465],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
0,48800,random_feasible,True,True,440,880,220,True,False,True,0.42,0.8120400128164035,1.0431310256694304,True,243.99999999999042,243.99999999999042,0,0,0,0,0,4.727945892594814,0.8505500400971123,1.0665422696674085,0.8658112080011051,uniform_random_feasible,107,0,8230842961652700008,3f8e80bd6c345b9bda73f483243d42a5d348902dd67035a67b083ca04cd26005,ac525deda05e26fedef60849e6591435e17c9a0a9f6aa072373b07771fe2126b,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-45.619234922632465],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
1,48801,full_active,True,True,440,880,220,True,True,True,1.0,0.2569971174793716,0.18615859095157053,True,93.99999999999893,93.99999999999893,0,0,0,0,0,19.537809444596157,0.5889623273695864,0.20763299266898463,1.330476458009798,belief_conditioned,32,8,,,0d60af60000786ba4abf4cf6d8a34552f9651d19dc7f879b4773785326e43305,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-52.47579293785233],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
1,48801,no_pair_term,True,True,440,880,220,True,True,True,1.0,0.22285003084645516,0.1278590714932303,True,93.99999999999893,93.99999999999893,0,0,0,0,0,19.537809444596157,0.5332379182171519,0.2088104882220907,0.9020331670035375,belief_conditioned,32,8,,,0d60af60000786ba4abf4cf6d8a34552f9651d19dc7f879b4773785326e43305,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-52.47579293785233],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
1,48801,best_hypothesis_only,True,True,440,880,220,True,True,True,1.0,0.27812709177718425,0.25543918501042534,True,93.99999999999893,93.99999999999893,0,0,0,0,0,21.897040234465553,0.7949361874358484,0.22137300655380035,0.8923377920000348,belief_conditioned,32,1,,,0d60af60000786ba4abf4cf6d8a34552f9651d19dc7f879b4773785326e43305,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-52.47579293785233],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
1,48801,random_feasible,True,True,440,880,220,True,True,True,1.0,0.9731324252662663,1.0160961669523305,True,183.99999999999383,183.99999999999383,0,0,0,0,0,22.112161046904415,2.894222005922722,0.7518911243548811,0.9212242079956923,uniform_random_feasible,77,0,12182798997604923225,9a685a07525cf9492086f1622e5f91809b16f11d0c67f6e73c9db0771581818c,0d60af60000786ba4abf4cf6d8a34552f9651d19dc7f879b4773785326e43305,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-52.47579293785233],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
2,48802,full_active,True,True,440,880,220,True,True,True,1.0,0.3947842290242613,0.40801188776670944,True,64.00000000000064,64.00000000000064,0,0,0,0,0,1.726283758266707,0.8801071146498323,0.2880311201238268,0.9052427080023335,belief_conditioned,17,8,,,09f16a9c7751cc13ea3e14cd8ec25064f5af57e5cd8b8aad32a79ca33f0d36a2,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-45.2072231716881],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
2,48802,no_pair_term,True,True,440,880,220,True,True,True,1.0,0.3804350173824965,0.41517915809132894,True,64.00000000000064,64.00000000000064,0,0,0,0,0,1.726283758266707,0.8489260865334908,0.2837612326118011,0.929527041997062,belief_conditioned,17,8,,,09f16a9c7751cc13ea3e14cd8ec25064f5af57e5cd8b8aad32a79ca33f0d36a2,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-45.2072231716881],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
2,48802,best_hypothesis_only,True,True,440,880,220,True,True,True,1.0,0.3804350173824965,0.41517915809132894,True,64.00000000000064,64.00000000000064,0,0,0,0,0,1.726283758266707,0.8489260865334908,0.2837612326118011,1.2211057499953313,belief_conditioned,17,1,,,09f16a9c7751cc13ea3e14cd8ec25064f5af57e5cd8b8aad32a79ca33f0d36a2,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-45.2072231716881],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
