source_campaign,method_id,method_label,episode_index,episode_seed,checkpoint_s,endpoint_position_error_m,initial_position_error_m,success_le_7m,success_lt_7m,nominal_radius95_m,nominal_radius95_covers,residual_rmse_mps,reported_runtime_s,reported_runtime_definition,checkpoint_update_runtime_s,online_inputs_sha256,truth_labels_sha256,unscored_sha256,contract_sha256,source_result_sha256
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",80,45080,60,1.2392070142972074,1.3049325261672264,true,true,5.126218573126419,true,0.031730601262249636,0.04910495795775205,single causal-prefix estimator evaluation,,694497755939f7d5be312110580454de4158a6a58b446b9696e9736554c44b86,4ca0f445e077c20e83496ecbb85b0bd48ed3cb7daae1af17bc215491be9cd1bc,ead45007cd582e18235301e399e57e6bf0071de054995549ed7b67720353e069,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,3ee44a5fceba6e13ac403f9e141875933f4c9ad60b74bbf6c48fdf715c1a14ff
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",81,45081,60,0.6724281318640476,0.694559124353772,true,true,3.8736864012971055,true,0.02775188774111786,0.05484070803504437,single causal-prefix estimator evaluation,,3727b6e2ef272d8805b70a84f7aa16eeebceea79c919966b8dea288abb779c85,0c95d936ce684a7f9300486e6b761751ca85c4dcff23cbe90a2e84b28b02c0a0,3d8f35b1ce61d50ea0183452ece13dad9b8b1113da2d4df4aa56a0574780112c,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,906afd990ed8d144f644d62cb3531ce3e67bb85aae149f3a1b1b1f49a081c15f
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",82,45082,60,0.5207395366595822,0.57170842335964,true,true,3.6311112383034256,true,0.030090809695889727,0.04912695800885558,single causal-prefix estimator evaluation,,a4c9453bbbdaa1a5f6c77138bac66f292b3c4b39ce9e27f4d42b671752352e07,7af4b67f67433b848bc86839c0bb9d55a0968cfe6bc9bafa01c82319c4b0470e,acad265c6ea1546426615845ff52aa4db0b5737ed930fac5f14b296461f1f62f,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,cc33824169c17d4d2f6f9a70127271ca06c6d480f19d244fe72f0dd9e3bbf830
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",83,45083,60,3.062532178378899,3.079731020001704,true,true,16.16478649707952,true,0.029398625417289388,0.052561333985067904,single causal-prefix estimator evaluation,,1a1c8941388b8882f873739af552a8285d42e116fcab46521fe3fa75b47fc24a,13089d6a1914bb64242e90b2096b7453076a13b8b9041f4b3399688b592a2c82,f0090534d2e745b55c7b7a4c4fde034cfca1761eb1d81cd4c40c5524d4adb606,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,00c452fa613d7e4f2ad1bfccfe05cf3466e26a235015d5358eb5dd2f4b493af9
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",84,45084,60,8.947594740674612,8.873573307185548,false,false,23.04874685264601,true,0.03973409834716687,0.05563958396669477,single causal-prefix estimator evaluation,,d44b622da1d692901d6764292c121dfa00682dfdece11d324d87c52a89661c2d,c59f0fa0b43eda8805955327e34b520c9fd24faff36e7613a578e2377369524f,9a7a95a8bbc0d5bac1fba809f8ab7fd4440e5c9a47005f9fd3b523aee1d6152c,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,838b979b80d445985de8f26eba0a677d8368f6dbcfb6af1876e031e660da101d
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",85,45085,60,1.1400309682659755,1.07246167676982,true,true,9.84042488933219,true,0.03363585096345094,0.05213687499053776,single causal-prefix estimator evaluation,,58147dbb20be04626feefb7075b51614a0f5e396014b42edd93c069ac0b57ac1,9e19fc04acd8041238c64343dd806066c318c4309c1b35b2c70a3561b63b9d14,aaa9931e67133ae8c763149ae7c8d2a3d654c62777edb3cf85f61ae8e3b816d7,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,30acd4ca5767a2c36390b5d8d1bebf7e06b85203a549f69a2948003834ab0875
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",86,45086,60,4.1982967966491325,4.150013016317972,true,true,24.984887741668725,true,0.027985341718323377,0.06364137504715472,single causal-prefix estimator evaluation,,432a3a65ebb3f9237be6f229c0fff0d565aaa0bb4afc00c0434d51e755ae7dfe,955f55715916e816dbe059ad7b8242f845f8adfcbda9d75d7168508d1e4fb418,56101c0ae71b2cbaf72878f8024ab073eba6d26fb6ae406314de3c85a39ccb2a,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,160125f7a9b377c8c952e5a2c1f80ce5db8e1f8b1b35139014877becb8f6d3c4
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",87,45087,60,0.5657253897689739,0.6063789592033344,true,true,6.69592865564301,true,0.03220009772633676,0.07484541600570083,single causal-prefix estimator evaluation,,fe052df08e77f7e325106a806381ebf7b11818ab3ccb150d5cc949067dbeb324,cee86b418e2ad3631e556958368d2470d7e002156761f6f80f01c5829c35fb32,16c01146f677ef62ad30fdcb61001a3097c35f1abc37b01b0af70db8cb3288f4,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,dd86c5ef8f9cd8686147693d4ae064aabb0050d3f27a8b75c34a1840d7b36144
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",88,45088,60,0.8367624064506761,0.9197627207122193,true,true,3.5565145360544044,true,0.033433295219618825,0.05491479195188731,single causal-prefix estimator evaluation,,b65b09b41d32a3b4dce0fb41d56bb00a3a995c7bdf7230554afd2feab1966293,9aeb11fd798530a02374f2c720577899a2e77d63d393a6cb6ed8eed83faec39e,f3066048f8b73ecc3a107fd776714046c82bba7b6039d4efad562097e48c73ee,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,40722ed63cfb988a731d036742767a071c49ec419ef33e901c0f4a5f1dac3bac
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",89,45089,60,2.7044729623182353,2.713987693616304,true,true,35.9658213749083,true,0.03247355789014791,0.04654762498103082,single causal-prefix estimator evaluation,,3ae7b87822d5edfa5e8e13a06bb19c0da8d80c7dcc792219a9437c92a5b12fac,a67b1fa8da99539a24be14d08a5675711fd1f39db374561a74ce3c66f96c00ff,4470ee98421c0d8f1109fb9c48aa851b396380f0e96c3543735ec421dfca478b,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,7ea84aad00b417673861052195994bfc71d2c8bd97d035f319a8d9ab96e0da39
