episode_index,episode_seed,source_name,policy_name,arm,source_mask_l1,source_mask_l2,active_source_count,measurement_row_count,active_scalar_measurement_count,terminal_joint_success,tail80_joint_success,dwell15_joint_success,tail50_joint_occupancy,terminal_localization_error_m,terminal_formation_error_m,checkpoint_60s_localization_error_m,checkpoint_60s_localization_below_7m,checkpoint_60s_phase_track,checkpoint_60s_gate_locked_after_update,ever_locked,first_track_action_time_s,unsafe_transition_count,unsafe_track_start_count,unsafe_track_end_count,audit_release_violation_count,false_confidence_action_count,maximum_localization_error_m,maximum_track_localization_error_m,mean_squared_action,maximum_combined_decision_runtime_s,planner_decision_count,noise_tape_sha256,masked_history_sha256
3,48603,leader2_only,belief_active,leader2_only__belief_active,False,True,1,440,440,False,False,False,0.0,1.0807749524059884,207.70826580653696,9.98298589740918,False,False,False,True,243.99999999999042,0,0,0,0,0,13.59693184664978,1.7693886292451726,0.3654358619943135,0.6172035840572789,107,128c5163d0eb3421f5fb8bb2cc9d6c01c976c6df67536759b9dec8d6463e4f0e,92e48241e9e663e684c4abead95c79c3b9ac2fbf437c11f5405fae5994be7b33
3,48603,both_leaders,fixed_s_turn,both_leaders__fixed_s_turn,True,True,2,440,880,False,False,False,0.0,2.1581536830205197,229.62370110978375,1.6822019724867256,True,False,False,False,,0,0,0,0,0,17.145859741957107,,0.19000396151991028,1.0531982500106096,0,128c5163d0eb3421f5fb8bb2cc9d6c01c976c6df67536759b9dec8d6463e4f0e,e392072952334b361e9e8c001d35bd83963e5faff0432d73bed371708a8dc3af
3,48603,both_leaders,belief_active,both_leaders__belief_active,True,True,2,440,880,True,True,True,1.0,2.092442168975623,2.465359230646139,3.132709139580504,True,False,False,True,93.99999999999893,0,0,0,0,0,17.13151308787756,5.046126737768466,0.2040270841107619,0.5502336249919608,32,128c5163d0eb3421f5fb8bb2cc9d6c01c976c6df67536759b9dec8d6463e4f0e,d81819809b9736f57dc5632f975ae2f3f34f4b3b7836a881591e6b1927c0ccff
4,48604,leader1_only,fixed_s_turn,leader1_only__fixed_s_turn,True,False,1,440,440,False,False,False,0.0,5.989792467778304,268.70534922282843,49.98388125877994,False,False,False,False,,0,0,0,0,0,192.23396534902872,,0.5648211879566353,0.39172462502028793,0,5271f55b469fa79432f622f8ee05fedb2c28c1df127fa84c089a6687d8e842f7,1d832b5853953053b45f8a821e80d69be1bf65cfdee653ccdab9761145fd1a8c
4,48604,leader1_only,belief_active,leader1_only__belief_active,True,False,1,440,440,True,True,True,1.0,0.13555653194956133,0.18149923595804812,0.8434165857919256,True,False,False,True,93.99999999999893,0,0,0,0,0,40.89511673397016,0.3221653415005889,0.4655311408632297,0.6912661249516532,62,5271f55b469fa79432f622f8ee05fedb2c28c1df127fa84c089a6687d8e842f7,909c6e155c3734e403e982788ea169e0be3339cf6e6272291664de3eb2ff9bfd
4,48604,leader2_only,fixed_s_turn,leader2_only__fixed_s_turn,False,True,1,440,440,False,False,False,0.0,3.298484977467164,268.70534922282843,11.643924089341795,False,False,False,False,,0,0,0,0,0,32.79057539462168,,0.5648211879566353,0.2977278330363333,0,5271f55b469fa79432f622f8ee05fedb2c28c1df127fa84c089a6687d8e842f7,60c835e64b1d6e2aff3d3c8bb7477342d0dae08b7282201c0fac6df789cbbeff
4,48604,leader2_only,belief_active,leader2_only__belief_active,False,True,1,440,440,True,True,True,1.0,0.37921792487722655,0.39825601216766926,1.832121890064694,True,False,False,True,123.99999999999723,0,0,0,0,0,33.327417376674,0.405564593651962,0.42787866098391736,0.843197499983944,47,5271f55b469fa79432f622f8ee05fedb2c28c1df127fa84c089a6687d8e842f7,c8c1453d7178f00f0f2198bce08d2d0bb16c35058dd03f051d5889526c2baf76
4,48604,both_leaders,fixed_s_turn,both_leaders__fixed_s_turn,True,True,2,440,880,False,False,False,0.0,0.24946495110417075,25.49250490672348,2.6493239779732596,True,False,False,True,304.0000000000006,0,0,0,0,0,6.121284392009525,0.8654723040731883,0.46291839467363355,1.0725410419981927,0,5271f55b469fa79432f622f8ee05fedb2c28c1df127fa84c089a6687d8e842f7,c3c580ad2a7347705db5a506c2f48ca7e11e327c10d19c174e389e5d300b9723
4,48604,both_leaders,belief_active,both_leaders__belief_active,True,True,2,440,880,True,True,True,1.0,0.29985518842117154,0.3148109292518845,1.6043354641132601,True,False,False,True,123.99999999999723,0,0,0,0,0,5.67950847956844,0.3295406533036302,0.3982449009326378,0.9967962499940768,47,5271f55b469fa79432f622f8ee05fedb2c28c1df127fa84c089a6687d8e842f7,4358c53dff5c25f007c3dbc1a33b1e023e22f2e13fe9a1a4080bbb8d106e52dc
5,48605,leader1_only,fixed_s_turn,leader1_only__fixed_s_turn,True,False,1,440,440,False,False,False,0.0,8.554185795049262,194.87775424453028,2.844326565834945,True,False,False,False,,0,0,0,0,0,89.89898440972779,,0.40521372036442305,0.3365202919812873,0,cbdafb98af2b44c1f54924acd528ef732353b4045bd636dfc2eb69b2002c3ab4,cdc5dee215a2c8dfd28a5d61264e200b67a3cb55ec6bf9be16f06baf5a1243ce
